头实体,关系,尾实体,依据,文献,品种,关系数量
绿茶,包含,蔗糖,与氨基酸代谢相关的代谢物，尤其是谷氨酸、谷氨酰胺、赖氨酸和精氨酸的表达上调，而蔗糖和d -葡萄糖- 6p的表达下调。,The efects of?tea plants-soybean intercropping on?the?secondary metabolites of?tea plants by?metabolomics analysis,南京 “苏茶早” ,1
绿茶,包含,脂肪醇,脂肪醇含量随海拔变化变化不大，但在海拔> 900 m时最低。,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,1
绿茶,包含,滋味,"光合辐照度对铁观音茶感官品质的外形、香气、汤色、滋味、叶底均呈现负向影响，是影响
铁观音茶感官审评综合得分的重要因子。;土壤 pH 是影响铁观音秋茶感官品质的关键主导因子，其对秋茶外形和汤色呈负相关，与秋茶香气、滋味、叶底和综合得分，呈正相关;土壤速效磷对铁观音秋茶感官品质呈现出一致的正效应;土壤速效钾是影响铁观音成茶感官审评综合得分的关键主导因子，对成茶综合得分影响的累积 VIP 值为 2.69，其对铁观音春、秋茶的滋味、汤色、叶底和茶叶综合评分均呈负相关，与春茶外形、秋茶香气呈正相关;板栗茶间作对保红绿茶的口感和香气有积极的影响，特别是对80年代种植的板栗茶有积极的影响",影响铁观音茶树没食子酸含量和产量品质的生态因子及其优化方案研究;Non-targeted and targeted metabolomics profiling of tea plants (Camellia sinensis) in response to its intercropping with Chinese chestnut,铁观音;铁观音秋茶;铁观音春秋茶;宝洪茶,5
绿茶,包含,棕榈酸,红壤和黄壤的苯甲酸和棕榈酸含量最高,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,2
绿茶,包含,总氨基酸,总氨基酸含量随海拔的升高而升高（表3）。,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,宣恩县茶,1
绿茶,包含,总风味化合物,鲜茶叶中氨基酸、茶碱含量和总风味化合物含量与铁含量的相关系数分别为0.382、0.395和0.441。E，显著正相关),Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,宣恩县茶,1
绿茶,包含,总黄酮类化合物,缺氮显著降低了茶叶的N含量、干重、叶绿素含量、l -茶氨酸和N代谢相关酶的活性，提高了总黄酮类化合物和多酚类物质的含量。,Molecular and?physiological mechanisms of?tea (Camellia sinensis (L.) O. Kuntze) leaf and?root in?response to?nitrogen defciency,不明,1
绿茶,包含,总酒精含量,总酒精含量最初随着海拔的升高而增加，但随后下降。700 ~ 799 m处酒精含量较高。,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,1
绿茶,包含,组氨酸,表9 遮荫处理下鲜叶的游离氨基酸组分分析,四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,通用,1
镁,抑制,酚氨比,阮等（2012）提出在茶叶栽培中补充镁可以有效降低茶叶中总多酚与氨基酸的比值（TP/AA），这与本研究结果一致，BMF处理显著降低了茶叶的TT/AA比值。,Combined application of?biochar and?magnesium fertilizer effectively improved the?soil environment and?the?tea quality in?southern strongly acidic tea garden,福建茶,1
镁,促进,叶绿素,缺镁会导致茶叶光合能力和叶绿素含量下降,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,1
木质生物炭,促进,氨基酸,在茶叶品质方面，施用土壤改良剂显著提高了茶中咖啡因含量，BF和BMF处理显著提高了茶多酚、游离氨基酸和水提取物含量。此外，BMF显著降低了多酚与氨基酸的比例。,Combined application of?biochar and?magnesium fertilizer effectively improved the?soil environment and?the?tea quality in?southern strongly acidic tea garden,福建茶,1
木质生物炭,促进,茶多酚,在茶叶品质方面，施用土壤改良剂显著提高了茶中咖啡因含量，BF和BMF处理显著提高了茶多酚、游离氨基酸和水提取物含量。此外，BMF显著降低了多酚与氨基酸的比例。,Combined application of?biochar and?magnesium fertilizer effectively improved the?soil environment and?the?tea quality in?southern strongly acidic tea garden,福建茶,1
木质生物炭,促进,水浸出物,在茶叶品质方面，施用土壤改良剂显著提高了茶中咖啡因含量，BF和BMF处理显著提高了茶多酚、游离氨基酸和水提取物含量。此外，BMF显著降低了多酚与氨基酸的比例。,Combined application of?biochar and?magnesium fertilizer effectively improved the?soil environment and?the?tea quality in?southern strongly acidic tea garden,福建茶,1
木质生物炭+ Mg肥,促进,氨基酸,BMF处理显著提高了茶叶品质，包括茶多酚、氨基酸、咖啡因和水提取物含量，分别比对照提高了16.46%、32.67%、39.22%和22.55%。,Combined application of?biochar and?magnesium fertilizer effectively improved the?soil environment and?the?tea quality in?southern strongly acidic tea garden,福建茶,1
木质生物炭+ Mg肥,促进,茶多酚,BMF处理显著提高了茶叶品质，包括茶多酚、氨基酸、咖啡因和水提取物含量，分别比对照提高了16.46%、32.67%、39.22%和22.54%。,Combined application of?biochar and?magnesium fertilizer effectively improved the?soil environment and?the?tea quality in?southern strongly acidic tea garden,福建茶,1
木质生物炭+ Mg肥,抑制,酚氨比,在茶叶品质方面，施用土壤改良剂显著提高了茶中咖啡因含量，BF和BMF处理显著提高了茶多酚、游离氨基酸和水提取物含量。此外，BMF显著降低了多酚与氨基酸的比例。,Combined application of?biochar and?magnesium fertilizer effectively improved the?soil environment and?the?tea quality in?southern strongly acidic tea garden,福建茶,1
木质生物炭+ Mg肥,促进,咖啡因,BMF处理显著提高了茶叶品质，包括茶多酚、氨基酸、咖啡因和水提取物含量，分别比对照提高了16.46%、32.67%、39.22%和22.56%。,Combined application of?biochar and?magnesium fertilizer effectively improved the?soil environment and?the?tea quality in?southern strongly acidic tea garden,福建茶,1
木质生物炭+ Mg肥,促进,水提取物含量,BMF处理显著提高了茶叶品质，包括茶多酚、氨基酸、咖啡因和水提取物含量，分别比对照提高了16.46%、32.67%、39.22%和22.56%。,Combined application of?biochar and?magnesium fertilizer effectively improved the?soil environment and?the?tea quality in?southern strongly acidic tea garden,福建茶,1
脯氨酸 ,促进,甜略苦,表9 遮荫处理下鲜叶的游离氨基酸组分分析,四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,通用,1
秋季,促进,氨基酸,9月份总氨基酸和茶氨酸浓度高于6月份,Variations in?the?composition of?tea leaves and?soil microbial  community,韩国济州岛茶,1
秋季,促进,茶氨酸,9月份总氨基酸和茶氨酸浓度高于6月份,Variations in?the?composition of?tea leaves and?soil microbial  community,韩国济州岛茶,1
全氮含量,促进,醇,土壤理化性状中有机质和全氮含量对茶叶鲜叶中醇含量有显著影响（相关系数分别为0.51和0.569）（P < 0.01）,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,宣恩县茶,1
适度遮阴,促进,氨基酸,茶园适度遮阴能降低茶树的光合作用，显著提高茶叶中氨基酸含量，增加水浸出物含量 P4251,影响茶树生长和茶叶品质的主要环境因子及其适应机制,通用,1
适度遮阴,促进,水浸出物,茶园适度遮阴能降低茶树的光合作用，显著提高茶叶中氨基酸含量，增加水浸出物含量 P4252,影响茶树生长和茶叶品质的主要环境因子及其适应机制,通用,1
水稻土,抑制,氨基酸,水稻土产茶鲜叶氨基酸含量显著低于红壤和黄壤，儿茶素和黄酮醇苷含量显著高于其他土壤（P < 0.05）。,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,宣恩县茶,1
水稻土,促进,儿茶素,水稻土产茶鲜叶氨基酸含量显著低于红壤和黄壤，儿茶素和黄酮醇苷含量显著高于其他土壤（P < 0.06）。,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,宣恩县茶,1
水稻土,促进,黄酮醇苷,水稻土产茶鲜叶氨基酸含量显著低于红壤和黄壤，儿茶素和黄酮醇苷含量显著高于其他土壤（P < 0.07）。,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,宣恩县茶,1
丝氨酸 ,促进,甜,表9 遮荫处理下鲜叶的游离氨基酸组分分析,四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,通用,1
苏氨酸 ,促进,甜,表9 遮荫处理下鲜叶的游离氨基酸组分分析,四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,通用,1
天冬氨酸 ,促进,鲜爽,表9 遮荫处理下鲜叶的游离氨基酸组分分析,四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,通用,1
天冬酰胺 ,促进,鲜爽,表9 遮荫处理下鲜叶的游离氨基酸组分分析,四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,通用,1
土壤 pH,抑制,汤色,土壤 pH 是影响铁观音秋茶感官品质的关键主导因子，其对秋茶外形和汤色呈负相关，与秋茶香气、滋味、叶底和综合得分，呈正相关,影响铁观音茶树没食子酸含量和产量品质的生态因子及其优化方案研究,铁观音秋茶,1
土壤 pH,抑制,外形,土壤 pH 是影响铁观音秋茶感官品质的关键主导因子，其对秋茶外形和汤色呈负相关，与秋茶香气、滋味、叶底和综合得分，呈正相关,影响铁观音茶树没食子酸含量和产量品质的生态因子及其优化方案研究,铁观音秋茶,1
土壤 pH,促进,香气,土壤 pH 是影响铁观音秋茶感官品质的关键主导因子，其对秋茶外形和汤色呈负相关，与秋茶香气、滋味、叶底和综合得分，呈正相关,影响铁观音茶树没食子酸含量和产量品质的生态因子及其优化方案研究,铁观音秋茶,1
土壤 pH,促进,叶底,土壤 pH 是影响铁观音秋茶感官品质的关键主导因子，其对秋茶外形和汤色呈负相关，与秋茶香气、滋味、叶底和综合得分，呈正相关,影响铁观音茶树没食子酸含量和产量品质的生态因子及其优化方案研究,铁观音秋茶,1
土壤 pH,促进,滋味,土壤 pH 是影响铁观音秋茶感官品质的关键主导因子，其对秋茶外形和汤色呈负相关，与秋茶香气、滋味、叶底和综合得分，呈正相关,影响铁观音茶树没食子酸含量和产量品质的生态因子及其优化方案研究,铁观音秋茶,1
土壤pH,先增后降,NH+ 4 -N,土壤pH与NH+ 4 -N、游离氨基酸、土壤pH与咖啡因呈倒u型关系。,A Quadratic Regression Model to Quantify Plantation Soil Factors That Affect Tea Quality,信阳毛尖茶,1
土壤pH,先增后降,氨基酸,土壤pH与NH+ 5 -N、游离氨基酸、土壤pH与咖啡因呈倒u型关系。,A Quadratic Regression Model to Quantify Plantation Soil Factors That Affect Tea Quality,信阳毛尖茶,1
土壤pH,先降后增,茶多酚,土壤pH适宜茶树种植。土壤pH与茶多酚、儿茶素呈u型关系,A Quadratic Regression Model to Quantify Plantation Soil Factors That Affect Tea Quality,信阳毛尖茶,1
土壤pH,先降后增,儿茶素,土壤pH适宜茶树种植。土壤pH与茶多酚、儿茶素呈u型关系,A Quadratic Regression Model to Quantify Plantation Soil Factors That Affect Tea Quality,信阳毛尖茶,1
土壤pH,先增后降,咖啡因,土壤pH与NH+ 6 -N、游离氨基酸、土壤pH与咖啡因呈倒u型关系。,A Quadratic Regression Model to Quantify Plantation Soil Factors That Affect Tea Quality,信阳毛尖茶,1
土壤氮,促进,氨基酸,"N和P主要参与氨基酸、维生素、叶绿素等物质的合成，直接调节茶树生化成分的含量和比例(Chen et al ., 2015；Lin et al, 2012)",Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,1
土壤氮,促进,不饱和脂肪酸,不饱和脂肪酸是促成茶叶香气的挥发物的关键前体，随着氮肥用量的增加而增加[46],Recent Advances in Volatiles of Teas,通用,1
土壤氮,促进,茶氨酸,缺氮显著降低了茶叶的N含量、干重、叶绿素含量、l -茶氨酸和N代谢相关酶的活性，提高了总黄酮类化合物和多酚类物质的含量。,Molecular and?physiological mechanisms of?tea (Camellia sinensis (L.) O. Kuntze) leaf and?root in?response to?nitrogen defciency,不明,1
土壤氮,抑制,多酚类物,缺氮显著降低了茶叶的N含量、干重、叶绿素含量、l -茶氨酸和N代谢相关酶的活性，提高了总黄酮类化合物和多酚类物质的含量。,Molecular and?physiological mechanisms of?tea (Camellia sinensis (L.) O. Kuntze) leaf and?root in?response to?nitrogen defciency,不明,1
土壤氮,促进,维生素,"N和P主要参与氨基酸、维生素、叶绿素等物质的合成，直接调节茶树生化成分的含量和比例(Chen et al ., 2015；Lin et al, 2013)",Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,通用,1
土壤氮,促进,叶绿素,"N和P主要参与氨基酸、维生素、叶绿素等物质的合成，直接调节茶树生化成分的含量和比例(Chen et al ., 2015；Lin et al, 2014);缺氮显著降低了茶叶的N含量、干重、叶绿素含量、l -茶氨酸和N代谢相关酶的活性，提高了总黄酮类化合物和多酚类物质的含量。",Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ;Molecular and?physiological mechanisms of?tea (Camellia sinensis (L.) O. Kuntze) leaf and?root in?response to?nitrogen defciency,通用;不明,2
土壤氮,抑制,总黄酮类化合物,缺氮显著降低了茶叶的N含量、干重、叶绿素含量、l -茶氨酸和N代谢相关酶的活性，提高了总黄酮类化合物和多酚类物质的含量。,Molecular and?physiological mechanisms of?tea (Camellia sinensis (L.) O. Kuntze) leaf and?root in?response to?nitrogen defciency,不明,1
土壤改良剂,促进,咖啡因,在茶叶品质方面，施用土壤改良剂显著提高了茶中咖啡因含量，BF和BMF处理显著提高了茶多酚、游离氨基酸和水提取物含量。此外，BMF显著降低了多酚与氨基酸的比例。,Combined application of?biochar and?magnesium fertilizer effectively improved the?soil environment and?the?tea quality in?southern strongly acidic tea garden,福建茶,1
土壤硫含量 ,抑制,挥发性苷,鲜茶叶中挥发性苷含量与Mo、S含量呈负相关（相关系数分别为?0.420和?0.484）,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,宣恩县茶,1
土壤钼含量 ,抑制,挥发性苷,鲜茶叶中挥发性苷含量与Mo、S含量呈负相关（相关系数分别为?0.420和?0.484）,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,宣恩县茶,1
土壤全磷含量,促进,酚酸,鲜茶叶中酚酸含量与全磷含量也呈极显著正相关,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,宣恩县茶,1
土壤全磷含量,促进,叶黄酮（醇）,茶鲜叶黄酮（醇）苷含量与土壤全磷、全硫含量呈正相关（相关系数分别为0.393、0.416）（P < 0.05,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,宣恩县茶,1
土壤全硫含量,促进,叶黄酮（醇）,茶鲜叶黄酮（醇）苷含量与土壤全磷、全硫含量呈正相关（相关系数分别为0.393、0.416）（P < 0.05,Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,宣恩县茶,1
土壤速效钾,抑制,汤色,土壤速效钾是影响铁观音成茶感官审评综合得分的关键主导因子，对成茶综合得分影响的累积 VIP 值为 2.69，其对铁观音春、秋茶的滋味、汤色、叶底和茶叶综合评分均呈负相关，与春茶外形、秋茶香气呈正相关,影响铁观音茶树没食子酸含量和产量品质的生态因子及其优化方案研究,铁观音春秋茶,1
土壤速效钾,促进,外形,土壤速效钾是影响铁观音成茶感官审评综合得分的关键主导因子，对成茶综合得分影响的累积 VIP 值为 2.69，其对铁观音春、秋茶的滋味、汤色、叶底和茶叶综合评分均呈负相关，与春茶外形、秋茶香气呈正相关,影响铁观音茶树没食子酸含量和产量品质的生态因子及其优化方案研究,铁观音春茶,1
土壤速效钾,促进,香气,土壤速效钾是影响铁观音成茶感官审评综合得分的关键主导因子，对成茶综合得分影响的累积 VIP 值为 2.69，其对铁观音春、秋茶的滋味、汤色、叶底和茶叶综合评分均呈负相关，与春茶外形、秋茶香气呈正相关,影响铁观音茶树没食子酸含量和产量品质的生态因子及其优化方案研究,铁观音秋茶,1
土壤速效钾,抑制,叶底,土壤速效钾是影响铁观音成茶感官审评综合得分的关键主导因子，对成茶综合得分影响的累积 VIP 值为 2.69，其对铁观音春、秋茶的滋味、汤色、叶底和茶叶综合评分均呈负相关，与春茶外形、秋茶香气呈正相关,影响铁观音茶树没食子酸含量和产量品质的生态因子及其优化方案研究,铁观音春秋茶,1
土壤速效钾,抑制,滋味,土壤速效钾是影响铁观音成茶感官审评综合得分的关键主导因子，对成茶综合得分影响的累积 VIP 值为 2.69，其对铁观音春、秋茶的滋味、汤色、叶底和茶叶综合评分均呈负相关，与春茶外形、秋茶香气呈正相关,影响铁观音茶树没食子酸含量和产量品质的生态因子及其优化方案研究,铁观音春秋茶,1
土壤速效磷,促进,汤色,土壤速效磷对铁观音秋茶感官品质呈现出一致的正效应;是春季茶叶外形、汤色和茶叶综合得分的关键因子。,影响铁观音茶树没食子酸含量和产量品质的生态因子及其优化方案研究,铁观音秋茶;铁观音春茶,2
土壤速效磷,促进,外形,土壤速效磷对铁观音秋茶感官品质呈现出一致的正效应;是春季茶叶外形、汤色和茶叶综合得分的关键因子。,影响铁观音茶树没食子酸含量和产量品质的生态因子及其优化方案研究,铁观音秋茶;铁观音春茶,2
土壤速效磷,促进,香气,土壤速效磷对铁观音秋茶感官品质呈现出一致的正效应,影响铁观音茶树没食子酸含量和产量品质的生态因子及其优化方案研究,铁观音秋茶,1
土壤速效磷,促进,叶底,土壤速效磷对铁观音秋茶感官品质呈现出一致的正效应,影响铁观音茶树没食子酸含量和产量品质的生态因子及其优化方案研究,铁观音秋茶,1
土壤速效磷,促进,滋味,土壤速效磷对铁观音秋茶感官品质呈现出一致的正效应,影响铁观音茶树没食子酸含量和产量品质的生态因子及其优化方案研究,铁观音秋茶,1
土壤铁含量,促进,氨基酸,鲜茶叶中氨基酸、茶碱含量和总风味化合物含量与铁含量的相关系数分别为0.382、0.395和0.441。E，显著正相关),Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,宣恩县茶,1
土壤铁含量,促进,茶碱含量,鲜茶叶中氨基酸、茶碱含量和总风味化合物含量与铁含量的相关系数分别为0.382、0.395和0.441。E，显著正相关),Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,宣恩县茶,1
土壤铁含量,促进,总风味化合物,鲜茶叶中氨基酸、茶碱含量和总风味化合物含量与铁含量的相关系数分别为0.382、0.395和0.441。E，显著正相关),Comprehensive analysis of environmental factors on the quality of tea (Camellia sinensis var. sinensis) fresh leaves ,宣恩县茶,1
土壤真菌多样性,抑制,氨酚比,茶叶品质指标与真菌群落香农多样性呈较强的负相关。这些品质指标与真菌群落种数呈相对中度的负相关,Variations in?the?composition of?tea leaves and?soil microbial  community,韩国济州岛茶,1
土壤真菌多样性,抑制,氨基酸,儿茶素与真菌多样性呈正相关，而总氨基酸和茶氨酸与真菌多样性呈负相关,Variations in?the?composition of?tea leaves and?soil microbial  community,韩国济州岛茶,1
土壤真菌多样性,抑制,茶氨酸,儿茶素与真菌多样性呈正相关，而总氨基酸和茶氨酸与真菌多样性呈负相关,Variations in?the?composition of?tea leaves and?soil microbial  community,韩国济州岛茶,1
土壤真菌多样性,促进,儿茶素,儿茶素与真菌多样性呈正相关，而总氨基酸和茶氨酸与真菌多样性呈负相关,Variations in?the?composition of?tea leaves and?soil microbial  community,韩国济州岛茶,1
温度,促进,氨基酸,茶园温度的3个指标与茶青产量和茶青茶产率呈正相关趋势，与咖啡碱、茶多酚和氨基酸含量呈显著或极显著的正相关，与茶青叶绿素含量呈正相关关系,南京地区大棚茶园小气候特征及对茶青产量和品质效应,南京绿茶,1
温度,抑制,氨基酸,气温低时，氨基酸、蛋白质及一些含氮化合物增 加，形成了茶叶鲜爽的滋味特点。 ,山东绿茶品质的影响因素分析,山东绿茶/通用,1
温度,促进,茶多酚,茶园温度的3个指标与茶青产量和茶青茶产率呈正相关趋势，与咖啡碱、茶多酚和氨基酸含量呈显著或极显著的正相关，与茶青叶绿素含量呈正相关关系,南京地区大棚茶园小气候特征及对茶青产量和品质效应,南京绿茶,1
温度,抑制,蛋白质,气温低时，氨基酸、蛋白质及一些含氮化合物增 加，形成了茶叶鲜爽的滋味特点。 ,山东绿茶品质的影响因素分析,山东绿茶/通用,1
温度,促进,多酚类物质,"适当的提高温度有利于茶树体内的碳代谢及糖类物质生成，糖类物质向多酚类物质的转化也加
快。 ",山东绿茶品质的影响因素分析,山东绿茶/通用,1
温度,抑制,芳香物质,"研究表明，温度是影响茶叶香气的重要因子，适度的低温胁迫处理能
提高鲜叶中芳香物质的种类，改变香气物质的含量。",山东绿茶品质的影响因素分析,山东绿茶/通用,1
温度,抑制,含氮化合物,气温低时，氨基酸、蛋白质及一些含氮化合物增 加，形成了茶叶鲜爽的滋味特点。 ,山东绿茶品质的影响因素分析,山东绿茶/通用,1
温度,促进,咖啡碱,茶园温度的3个指标与茶青产量和茶青茶产率呈正相关趋势，与咖啡碱、茶多酚和氨基酸含量呈显著或极显著的正相关，与茶青叶绿素含量呈正相关关系,南京地区大棚茶园小气候特征及对茶青产量和品质效应,南京绿茶,1
温度,促进,糖类物质,"适当的提高温度有利于茶树体内的碳代谢及糖类物质生成，糖类物质向多酚类物质的转化也加
快。 ",山东绿茶品质的影响因素分析,山东绿茶/通用,1
温度,抑制,香气,"研究表明，温度是影响茶叶香气的重要因子，适度的低温胁迫处理能
提高鲜叶中芳香物质的种类，改变香气物质的含量。",山东绿茶品质的影响因素分析,山东绿茶/通用,1
温度,促进,叶绿素,茶园温度的3个指标与茶青产量和茶青茶产率呈正相关趋势，与咖啡碱、茶多酚和氨基酸含量呈显著或极显著的正相关，与茶青叶绿素含量呈正相关关系,南京地区大棚茶园小气候特征及对茶青产量和品质效应,南京绿茶,1
温度较低,促进,氨基酸,"温度较低，茶芽生长缓慢,有利于茶叶中氨基酸含量的提高,但温度过低，不利于茶多酚等芳香物质的形成。",近55年来浙江省茶叶高温干旱灾害特征及防御技术研艽,安徽茶,1
夏季,促进,儿茶素,6月份儿茶素浓度高于9月份（p<0.05）,Variations in?the?composition of?tea leaves and?soil microbial  community,韩国济州岛茶,1
夏季遮光,显著促进,氨基酸,夏季遮光能明显提高氨基酸含量,高温时期遮荫处理对茶树生长的影响,亚热带丘陵红壤茶园,1
夏季遮光,抑制,酚氨比,主要表现为茶新梢茶多酚含量降低，氨基酸含量、水浸出物含量升高，同时也降低了茶树新梢的酚氨比，提高了茶叶品质。,高温时期遮荫处理对茶树生长的影响,亚热带丘陵红壤茶园,1
夏季遮光,无影响,咖啡碱含量,各处理间水浸出物含量、咖啡碱含量不存在明显差异。,高温时期遮荫处理对茶树生长的影响,亚热带丘陵红壤茶园,1
夏季遮光,无影响,水浸出物,各处理间水浸出物含量、咖啡碱含量不存在明显差异。,高温时期遮荫处理对茶树生长的影响,亚热带丘陵红壤茶园,1
缬氨酸 ,促进,甜略苦,表9 遮荫处理下鲜叶的游离氨基酸组分分析,四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,通用,1
叶面喷施0.02ｇ／Ｌ硒肥,促进,氨基酸,"叶面喷施 0.02 g/I处理茶叶各化学品质指标含量最高,化",叶面喷施硒肥对绿茶硒含量及品质的影响,贵州绿茶都匀毛尖,1
叶面喷施0.02ｇ／Ｌ硒肥,促进,茶多酚,"叶面喷施 0.02 g/I处理茶叶各化学品质指标含量最高,化",叶面喷施硒肥对绿茶硒含量及品质的影响,贵州绿茶都匀毛尖,1
叶面喷施0.02ｇ／Ｌ硒肥,促进,咖啡碱,"叶面喷施 0.02 g/I处理茶叶各化学品质指标含量最高,化",叶面喷施硒肥对绿茶硒含量及品质的影响,贵州绿茶都匀毛尖,1
叶面喷施0.02ｇ／Ｌ硒肥,促进,水浸出物,"叶面喷施 0.02 g/I处理茶叶各化学品质指标含量最高,化",叶面喷施硒肥对绿茶硒含量及品质的影响,贵州绿茶都匀毛尖,1
叶面喷施硒肥,先增后降,氨基酸,"结果表明,茶叶无机硒含量、有机硒含量与总硒含量随叶面喷施硒浓度的增加而增加。",叶面喷施硒肥对绿茶硒含量及品质的影响,贵州绿茶都匀毛尖,1
叶面喷施硒肥,先增后降,茶多酚,"结果表明,茶叶无机硒含量、有机硒含量与总硒含量随叶面喷施硒浓度的增加而增加。",叶面喷施硒肥对绿茶硒含量及品质的影响,贵州绿茶都匀毛尖,1
叶面喷施硒肥,促进,茶叶无机硒含量,"结果表明,茶叶无机硒含量、有机硒含量与总硒含量随叶面喷施硒浓度的增加而增加。",叶面喷施硒肥对绿茶硒含量及品质的影响,贵州绿茶都匀毛尖,1
叶面喷施硒肥,先增后降,咖啡碱,"结果表明,茶叶无机硒含量、有机硒含量与总硒含量随叶面喷施硒浓度的增加而增加。",叶面喷施硒肥对绿茶硒含量及品质的影响,贵州绿茶都匀毛尖,1
叶面喷施硒肥,先增后降,水浸出物,"结果表明,茶叶无机硒含量、有机硒含量与总硒含量随叶面喷施硒浓度的增加而增加。",叶面喷施硒肥对绿茶硒含量及品质的影响,贵州绿茶都匀毛尖,1
叶面喷施硒肥,促进,有机硒含量,"结果表明,茶叶无机硒含量、有机硒含量与总硒含量随叶面喷施硒浓度的增加而增加。",叶面喷施硒肥对绿茶硒含量及品质的影响,贵州绿茶都匀毛尖,1
异亮氨酸 ,促进,苦,表9 遮荫处理下鲜叶的游离氨基酸组分分析,四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,通用,1
有机肥,促进,氨基酸,"研究发现增施有机肥较习惯施肥提高了茶叶中水浸出物、游离氨基酸、茶多酚的含量，并降低了咖啡碱
含量和酚氨比",有机肥+茶树专用肥”高效施用技术模式,浙江绿茶,1
有机肥,促进,茶多酚,"研究发现增施有机肥较习惯施肥提高了茶叶中水浸出物、游离氨基酸、茶多酚的含量，并降低了咖啡碱
含量和酚氨比",有机肥+茶树专用肥”高效施用技术模式,浙江绿茶,1
有机肥,抑制,酚氨比,"研究发现增施有机肥较习惯施肥提高了茶叶中水浸出物、游离氨基酸、茶多酚的含量，并降低了咖啡碱
含量和酚氨比",有机肥+茶树专用肥”高效施用技术模式,浙江绿茶,1
有机肥,无影响,咖啡碱,900kg商品有机肥处理能增加茶芽的发芽密度及百芽重；在成品茶感官品质上表现为香气更为高爽清鲜，味道更为鲜爽甘甜；茶叶的氨基酸含量更高，茶多酚含量更低，氨酚比更适宜，且以EGCG、EGC为代表的儿茶素含量更低。,有机肥部分替代化肥对成龄绿茶产量及品质的影响,成龄茶,1
有机肥,抑制,咖啡碱,"研究发现增施有机肥较习惯施肥提高了茶叶中水浸出物、游离氨基酸、茶多酚的含量，并降低了咖啡碱
含量和酚氨比",有机肥+茶树专用肥”高效施用技术模式,浙江绿茶,1
有机肥,促进,水浸出物,"研究发现增施有机肥较习惯施肥提高了茶叶中水浸出物、游离氨基酸、茶多酚的含量，并降低了咖啡碱
含量和酚氨比",有机肥+茶树专用肥”高效施用技术模式,浙江绿茶,1
有机肥,无影响,水浸出物,900kg商品有机肥处理能增加茶芽的发芽密度及百芽重；在成品茶感官品质上表现为香气更为高爽清鲜，味道更为鲜爽甘甜；茶叶的氨基酸含量更高，茶多酚含量更低，氨酚比更适宜，且以EGCG、EGC为代表的儿茶素含量更低。,有机肥部分替代化肥对成龄绿茶产量及品质的影响,成龄茶,1
有机肥,无影响,汤色,施肥处理对于茶叶的汤色、叶底改变相对较小,有机肥部分替代化肥对成龄绿茶产量及品质的影响,成龄茶,1
有机肥,无影响,叶底,施肥处理对于茶叶的汤色、叶底改变相对较小,有机肥部分替代化肥对成龄绿茶产量及品质的影响,成龄茶,1
有机肥-化肥配施20%~50%,促进,氨基酸,"2017 年全年茶青产量提高了 13.28%和2.5%，茶叶中的水浸出物、氨基酸和茶多酚的含量均有所提高，酚氨比降低，
提高了绿茶的品质。",减施化肥和配施有机肥对茶园土壤养分及茶叶产量和品质的影响,浙江绿茶,1
